GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ejemplos_videos,com.example.ejemplos_videos.controllers,PrimerPruebaControlador,28,3,0,0,8,1,4,1,4,1
ejemplos_videos,com.example.ejemplos_videos.controllers,UserControlador,28,3,2,0,8,1,4,1,3,1
ejemplos_videos,com.example.ejemplos_videos.controllers,PersonaControlador,269,3,8,0,59,1,12,1,8,1
ejemplos_videos,com.example.ejemplos_videos.converters,PaisConverter,66,3,4,0,12,1,6,1,4,1
ejemplos_videos,com.example.ejemplos_videos.converters,PersonaConverter,86,3,0,0,9,1,4,1,4,1
ejemplos_videos,com.example.ejemplos_videos.converters,FiguritaConverter,20,3,0,0,2,1,2,1,2,1
ejemplos_videos,com.example.ejemplos_videos.converters,AvatarConverter,24,3,0,0,2,1,2,1,2,1
ejemplos_videos,com.example.ejemplos_videos.models,PersonaModelo,209,0,0,0,60,0,21,0,21,0
ejemplos_videos,com.example.ejemplos_videos.models,PaisModelo,78,0,0,0,27,0,11,0,11,0
ejemplos_videos,com.example.ejemplos_videos.models,AvatarModelo,130,0,0,0,42,0,16,0,16,0
ejemplos_videos,com.example.ejemplos_videos.models,FiguritaModelo,67,0,0,0,21,0,10,0,10,0
ejemplos_videos,com.example.ejemplos_videos.helpers,ViewRouteHelper,3,0,0,0,1,0,1,0,1,0
ejemplos_videos,com.example.ejemplos_videos.services.implementation,AvatarService,28,3,0,0,7,1,3,1,3,1
ejemplos_videos,com.example.ejemplos_videos.services.implementation,FiguritaService,12,3,0,0,2,1,2,1,2,1
ejemplos_videos,com.example.ejemplos_videos.services.implementation,UserService,55,3,2,0,8,1,4,1,3,1
ejemplos_videos,com.example.ejemplos_videos.services.implementation,PaisService,61,3,2,0,13,1,6,1,5,1
ejemplos_videos,com.example.ejemplos_videos.services.implementation,PersonaService,202,3,22,0,52,1,22,1,11,1
ejemplos_videos,com.example.ejemplos_videos.configuration,SecurityConfiguration,0,81,0,0,0,14,0,3,0,3
ejemplos_videos,com.example.ejemplos_videos.utilidades,Matematica,7,0,0,0,2,0,2,0,2,0
ejemplos_videos,com.example.ejemplos_videos.entities,Pais,120,8,6,0,26,3,17,1,14,1
ejemplos_videos,com.example.ejemplos_videos.entities,User,155,8,0,0,53,3,19,1,19,1
ejemplos_videos,com.example.ejemplos_videos.entities,UserRole,65,3,0,0,27,2,12,1,12,1
ejemplos_videos,com.example.ejemplos_videos.entities,Avatar,105,3,0,0,34,2,14,1,14,1
ejemplos_videos,com.example.ejemplos_videos.entities,Figurita,83,18,0,0,27,8,11,3,11,3
ejemplos_videos,com.example.ejemplos_videos.entities,Persona,351,13,6,0,89,4,33,1,30,1
ejemplos_videos,com.example.ejemplos_videos.controllers.api.v0,PersonaControladorRest,227,3,6,0,55,1,9,1,6,1
ejemplos_videos,com.example.ejemplos_videos.controllers.api.v0,FiguritaControladorRest,19,3,2,0,5,1,2,1,1,1
ejemplos_videos,com.example.ejemplos_videos.models.request,ConsumoREST,57,3,0,0,14,1,3,1,3,1
ejemplos_videos,com.example.ejemplos_videos.models.request,PersonaRequest,133,0,0,0,39,0,18,0,18,0
ejemplos_videos,com.example.ejemplos_videos,EjemplosVideosApplication,5,3,0,0,2,1,1,1,1,1
